Year,Experiment,DataUse,Month,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,SOM,N2O
2012,3,1,2,170,0.0,0.0,-2.0,5.6240175061873385,241,0.6665083162667813,2.4887608793601825,3.1755846176832754,63.0,2.0,1.588570021142448
2012,3,1,2,170,0.0,0.0,-2.4,5.627621113690637,242,0.6406079512776812,2.4855803394748013,3.1763681604043303,63.0,2.0,1.1600891516924623
2012,3,1,2,170,1.4586150226995167,2.265921108622454,0.3,5.655991810819852,250,0.7280854012159785,2.4707797500340947,3.187258338590106,63.0,2.0,1.5134983040386918
2012,3,1,2,170,0.0,2.211565694606877,-3.8,5.659482215759621,251,0.6868723517556334,2.472310314684473,3.1893225162115666,63.0,2.0,1.4685353475747538
2012,3,1,3,170,0.7030975114131134,2.2396452932201716,17.6,5.746203190540153,277,0.7162214412068945,2.4163376170401483,3.227115981335133,63.0,2.0,1.373153000737886
2012,3,1,3,170,0.7030975114131134,2.2396452932201716,19.1,5.749392985908253,278,0.7067334504006194,2.4072434421906914,3.234565456362033,63.0,2.0,1.1462752434807395
2012,3,1,3,170,0.0,3.6057695473909295,2.2,5.7899601708972535,291,0.7146360801675118,2.3544050436738218,3.27078473972258,63.0,2.0,0.9569349850304121
2012,3,1,3,170,1.9947003132247452,2.0930978681273213,3.3,5.793013608384144,292,0.7113805181559009,2.3560839633098274,3.2729906071126984,63.0,2.0,0.0
2012,3,1,4,170,3.9326096390365346,3.9473901492654373,6.8,5.84354441703136,309,0.7261150947865986,2.325280688482234,3.29623460171181,63.0,2.0,0.8231317042052926
2012,3,1,4,170,1.1908875647772805,3.9860166853364722,10.7,5.8522024797744745,312,0.7182007237272766,2.336463581070431,3.294813305307723,63.0,2.0,1.0788943798359083
2012,3,1,5,170,1.5173226235262947,3.391483689474516,14.1,5.8944028342648505,327,0.781241726394619,2.2916749937104717,3.329529471160849,63.0,2.0,1.6865546716310402
2012,3,1,5,170,0.8197798314933114,3.2140642678709788,15.1,5.8971538676367405,328,0.7706671666802967,2.2820338555592055,3.332765888287307,63.0,2.0,1.4113336064718929
2012,3,1,5,170,0.0,3.128951117340214,13.5,5.8998973535824915,329,0.7755970743766665,2.2813194740472746,3.336993879954863,63.0,2.0,1.1779303811713189
2012,3,1,5,170,1.1085626195212777,1.9600947840472698,13.6,5.902633333401366,330,0.7288642680869748,2.3970483688218707,3.3837397806413243,63.0,2.0,1.2441968488044028
2012,3,1,5,170,1.1085626195212777,1.9600947840472698,12.6,2.0711643384668723,331,0.6811269737998753,2.4807943726213457,3.4185404835359057,63.0,2.0,0.0
2012,3,1,5,170,0.8197798314933114,1.4586150226995167,15.0,2.0711643384668723,335,0.7316023929400836,2.7680788806744525,3.5548544539709788,63.0,2.0,1.2391977920638064
2012,3,1,5,170,0.0,0.8197798314933114,17.5,2.3978952727983707,340,0.6598508868263593,2.9751605695941548,3.7023954501237046,63.0,2.0,1.1346785237009749
2012,3,1,5,170,0.0,1.6213664832993742,22.9,3.091042453358316,351,0.6218650854142943,2.7565673756324087,3.8155753629583726,63.0,2.0,0.0
2012,3,1,6,170,0.0,3.511843901749219,17.5,3.332204510175204,357,0.6933979760934914,2.6598574984171153,3.7531527760268015,63.0,2.0,1.4662587076592124
2012,3,1,6,170,0.0,3.511843901749219,15.2,3.367295829986474,358,0.677353974629762,2.6323449231653275,3.7385194713416494,63.0,2.0,0.5101189192804705
2012,3,1,6,170,0.0,3.511843901749219,16.9,3.4011973816621555,359,0.6682640500170169,2.5914041688124474,3.7237495632530333,63.0,2.0,0.3523445106878415
2012,3,1,6,170,0.0,3.511843901749219,19.0,3.4339872044851463,360,0.6639143225174597,2.54633275425296,3.706917510764775,63.0,2.0,0.580474914822086
2012,3,1,6,170,0.0,0.0,23.6,3.4965075614664802,362,0.6386872670830788,2.432769227294722,3.6606079549421384,63.0,2.0,0.5896780423953303
2012,3,1,6,170,0.0,0.0,23.8,3.5263605246161616,363,0.6239602870322802,2.3270658782725473,3.6034275514210132,63.0,2.0,0.4019596136426309
2012,3,1,6,170,0.0,0.0,23.7,3.5553480614894135,0,0.6454846829147574,2.73446334898267,3.709364667022993,63.0,2.0,0.050189889528834804
2012,3,1,6,170,0.0,0.0,15.6,3.6109179126442243,2,0.6307445820604258,3.0305379180812038,3.7711111871990717,63.0,2.0,0.0
2012,3,1,6,170,0.0,0.0,24.4,3.6888794541139363,5,0.6016458738743914,3.341052571800885,3.967204851589024,63.0,2.0,1.2742729827598636
2012,3,1,6,170,0.5653138090500605,0.5653138090500605,22.4,3.713572066704308,6,0.5875887515109434,3.408223341698215,3.9886389870380827,63.0,2.0,0.5709019145733008
2012,3,1,6,170,1.1118575154181303,1.33500106673234,28.9,3.7612001156935624,8,0.5737137431507777,3.484126074716957,4.089949618590249,63.0,2.0,0.6534081825635434
2012,3,1,6,170,0.7030975114131134,1.33500106673234,27.8,3.784189633918261,9,0.552430752442525,3.538446343056936,4.1823517002215835,63.0,2.0,0.47227148200636726
2012,3,1,6,170,0.924258901523332,1.6714733033535532,20.8,3.828641396489095,11,0.5191740996963803,3.6617147622018082,4.279814297187669,63.0,2.0,1.5939824102124343
2012,3,1,6,170,0.924258901523332,1.6714733033535532,20.9,3.8501476017100584,12,0.5057233991368105,3.68767222570687,4.325114187640441,63.0,2.0,1.266201908563691
2012,3,1,6,170,0.0,1.5173226235262947,23.6,3.8712010109078907,13,0.488008503855691,3.6938025159342645,4.374058498224704,63.0,2.0,1.0963024150939764
2012,3,1,6,170,0.0,1.264126727145683,19.1,3.8918202981106265,14,0.47158853309296705,3.707851712239237,4.405819513356773,63.0,2.0,1.1763999485430177
2012,3,1,6,170,0.0,0.924258901523332,19.4,3.912023005428146,15,0.46527402338766377,3.695762114175784,4.433730680316584,63.0,2.0,1.197258509706674
2012,3,1,6,170,0.0,0.924258901523332,22.1,3.9318256327243257,16,0.4461676223628738,3.6687259037514592,4.468800139624201,63.0,2.0,0.9583304976241793
2012,3,1,6,170,0.0,0.924258901523332,27.1,3.9512437185814275,17,0.4367686162019746,3.608106098332068,4.5110223284254785,63.0,2.0,0.7869050430918288
2012,3,1,6,170,0.0,0.0,25.4,3.970291913552122,18,0.42224239518162526,3.5748460765696723,4.540517525003482,63.0,2.0,1.0501427502568617
2012,3,1,7,170,0.0,0.412109650826833,26.4,4.02535169073515,21,0.4074291895076569,3.4228445811982726,4.612043937535747,63.0,2.0,0.9165219755858364
2012,3,1,7,170,0.0,0.412109650826833,28.7,4.04305126783455,22,0.401899763742146,3.359289415743913,4.641896367305413,63.0,2.0,0.9292902583710329
2012,3,1,7,170,0.0,0.412109650826833,30.4,4.060443010546419,23,0.38687129872309245,3.2867939163192896,4.671715626290499,63.0,2.0,0.0
2012,3,1,7,170,0.0,0.412109650826833,30.4,4.07753744390572,24,0.38439667593874327,3.2175903189594215,4.6984086394304,63.0,2.0,0.0
2012,3,1,7,170,0.0,0.0,24.6,4.127134385045092,27,0.3736800512976781,3.152773030225865,4.743339286550964,63.0,2.0,0.0
2012,3,1,7,170,1.9600947840472698,1.9600947840472698,23.1,4.1588830833596715,29,0.3553476857654128,2.99954404949665,4.731500597419101,63.0,2.0,0.0
2012,3,1,7,170,2.061786606441115,2.6361960973342264,25.0,4.23410650459726,34,0.3939844013040441,2.864764962290028,4.714221611849016,63.0,2.0,1.880365660948005
2012,3,1,7,170,2.061786606441115,2.061786606441115,27.1,4.248495242049359,35,0.4368474244426562,2.814044016183617,4.71543126922558,63.0,2.0,1.5711271278754164
2012,3,1,7,170,0.0,2.061786606441115,29.8,4.2626798770413155,36,0.4094789970228803,2.727200327984589,4.705952195263603,63.0,2.0,1.5763385018767573
2012,3,1,7,170,0.0,2.061786606441115,26.9,4.276666119016055,37,0.38793733562433974,2.6672702890298097,4.701200097632396,63.0,2.0,1.5620432732131002
2012,3,1,7,170,0.0,2.061786606441115,22.8,4.290459441148391,38,0.423071069664031,2.6940163185560566,4.689439291385629,63.0,2.0,2.513793906005821
2012,3,1,7,170,2.876948737564024,3.2035591207563074,21.8,4.304065093204169,39,0.48453647600608163,2.6975448122328385,4.692177308802005,63.0,2.0,2.516156939646079
2012,3,1,7,170,2.876948737564024,3.2035591207563074,21.3,4.31748811353631,40,0.4402168319597614,2.6635262238027435,4.669093980720096,63.0,2.0,1.9265196017424555
2012,3,1,7,170,0.0,2.876948737564024,24.7,4.330733340286331,41,0.41141270377140066,2.595946930001769,4.636981449532927,63.0,2.0,2.104750768478648
2012,3,1,7,170,0.0,2.876948737564024,28.3,4.343805421853684,42,0.38211738003160334,2.5092182141789707,4.610998896005745,63.0,2.0,2.445544254150466
2012,3,1,7,170,0.22314355131420976,2.8909271591878647,26.2,4.356708826689592,43,0.3618078030993771,2.4502365269751047,4.583966263336018,63.0,2.0,2.5640503135887185
2012,3,1,7,170,0.22314355131420976,2.8909271591878647,23.8,4.3694478524670215,44,0.34060896442218447,2.3797249144443176,4.550460071439544,63.0,2.0,2.576644696937673
2012,3,1,7,170,0.0,2.8909271591878647,25.2,4.382026634673881,45,0.38706247841608277,2.39010757268177,4.504891403093394,63.0,2.0,2.653008742917309
2012,3,1,7,170,2.316487998163037,2.340843805111136,21.2,4.394449154672439,46,0.4074224649703309,2.3476543431410493,4.461875654360342,63.0,2.0,2.709418856533163
2012,3,1,7,170,2.4344901638739844,2.4561641809223462,21.8,4.406719247264253,47,0.3886996298244348,2.3119579303972926,4.440732169160805,63.0,2.0,2.35035273776288
2012,3,1,7,170,0.8197798314933114,2.4561641809223462,21.5,4.418840607796598,48,0.3646281034052071,2.240875739318674,4.3943009091167085,63.0,2.0,2.2945894857157714
2012,3,1,7,170,0.0,2.4561641809223462,23.7,4.430816798843313,49,0.34727260475218125,2.1587288102349276,4.344575501889302,63.0,2.0,2.198360105681602
2012,3,1,7,170,0.0,2.4344901638739844,23.7,4.442651256490317,50,0.34597215601015197,2.1199061923603857,4.290975061617964,63.0,2.0,2.1659066959256776
2012,3,1,8,170,1.8050046959780757,2.8027541365715076,22.2,4.454347296253507,51,0.33909053902260583,2.0415296316699423,4.237987153535445,63.0,2.0,1.8831069196116252
2012,3,1,8,170,1.8050046959780757,2.8027541365715076,24.4,4.465908118654584,52,0.33071876270984885,1.9562712866049634,4.179679701777074,63.0,2.0,1.6663512087417551
2012,3,1,8,170,0.0,1.9947003132247452,26.7,4.477336814478207,53,0.33071876270984885,1.8741690659162218,4.132676964277213,63.0,2.0,1.0987552410809323
2012,3,1,8,170,0.0,1.8050046959780757,26.1,4.48863636973214,54,0.32226317955276856,1.8281733623294316,4.10831996640663,63.0,2.0,0.2502196561183244
